threshold,sharpe,ci_lo,ci_hi,total_ret,max_dd,exposure
0.5,-0.5864016004738789,-1.635564890282435,0.468573602944407,-0.5781293193939872,-0.6721958116537813,0.1611521666106819
0.55,-0.8546950115057934,-1.930913232391985,0.25365372158773536,-0.3282205718070108,-0.37602770862925794,0.027838427947598256
0.6,-0.8458855299146218,-1.9469260229445795,0.2798303365785251,-0.31227523357174913,-0.3587406079773571,0.025529056096741682
0.65,-0.7913957646622225,-1.9660129090434657,0.43204245799394525,-0.25705899839226054,-0.31153977725798243,0.02070036949949614
