fold,split,start,end,regime,btc_ret,sharpe,max_dd,total_ret,exposure
1,IS,2023-05-05,2023-10-04,choppy/ranging,-0.048952845812631596,0.7319639750318965,-0.06116486158130041,0.04774695499757087,0.40652412280701755
2,IS,2023-10-05,2024-03-05,trending-up,1.4567754927629468,3.440483302901442,-0.022772619061935284,0.3094257853105564,0.22358387799564272
3,OOS,2024-03-06,2024-08-05,choppy/ranging,-0.0872984923579041,-1.5684426845365238,-0.40222968013244453,-0.3334671697393664,0.7047064777327936
4,OOS,2024-08-06,2025-01-05,trending-up,0.8182646344366649,1.5013080308676625,-0.0012692307692308002,0.04490660316435369,0.012066365007541479
5,OOS,2025-01-06,2025-06-07,choppy/ranging,0.060233860875988476,0.8677216524371331,-0.005111325136773259,0.011197951294087627,0.006787330316742081
6,OOS,2025-06-08,2025-11-06,choppy/ranging,-0.01579304637565404,,0.0,0.0,0.0
7,OOS,2025-11-07,2026-04-07,trending-down,-0.3206082842506722,1.3718498764526905,-0.00019497925359079904,0.0024555075948469174,0.0020242914979757085
8,OOS,2026-04-08,2026-09-06,choppy/ranging,0.10994252005791649,,0.0,0.0,0.03466599190283401
